id_obra;tombo;artista;titulo;data;tecnica;dimens_largura_cm;dimens_altura_cm;dimens_prof_cm;dimens_adicional;procedencia;observacoes;acesso
1;1963.1.409;Emídio de Souza;Sem título;1948;óleo sobre tela;32.70;47.00;;;"
	Doação Francisco Matarazzo Sobrinho
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1963_1_409.jpg
2;1963.1.222;Lorenzo Viani;Sem título;s.d.;nanquim e guache sobre cartão;41.70;28.50;;;"
	Doação Francisco Matarazzo Sobrinho
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1963_1_222.jpg
3;1963.3.32;Sophie Taeuber-Arp;Triangles pointe sur pointe, Rectangle, Carrès, Barres [Triângulos opostos pelo Vértice, Retângulo, Quadrados, Barras];1931;óleo sobre tela;81.00;65.00;;;"
	Doação Museu de Arte Moderna de São Paulo
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1963_3_32.jpg
4;1963.1.184;Scipione;Oceano Indiano;1930;óleo sobre madeira;54.20;59.70;;;"
	Doação Francisco Matarazzo Sobrinho
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1963_1_184.jpg
5;1963.3.334;Kurt Schwitters;Duke Size;1946;recortes de papel e papelão sobre papel;19.00;15.80;;;"
	Doação Museu de Arte Moderna de São Paulo
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1963_3_334.jpg
6;2016CM.1;Egon Schiele;Autorretrato;c. 1910;crayon e aquarela sobre papel Kraft;45.50;25.50;;;"
	Comodato (Coleção Robert Schwarz)
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/CM2016_1.jpg
7;1966.15.18;Ismael Nery;Grupo com Cinco Figuras;s.d.;tinta ferrogálica sobre papel;23.00;16.00;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_18.jpg
8;1966.15.17;Ismael Nery;Figura Surrealista com Personagem Masculino Deitado;s.d.;nanquim e grafite sobre papel;21.70;16.20;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_17.jpg
9;1966.15.15;Ismael Nery;Autorretrato;s.d.;crayon sobre papel;22.70;17.00;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_15.jpg
10;1966.15.14;Ismael Nery;Três Mulheres com Auscultador;s.d.;nanquim sobre papel;16.00;12.00;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_14.jpg
11;1966.15.13;Ismael Nery;Composição Surrealista I (Um Dirigível e um Epitáfio com a Palavra LEX);s.d.;nanquim sobre papel;21.30;27.80;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_13.jpg
12;1966.15.12;Ismael Nery;Casal;s.d.;nanquim sobre papel;23.20;15.70;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_12.jpg
13;1966.15.11;Ismael Nery;Banhistas;s.d.;nanquim sobre papel;21.40;27.60;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_11.jpg
14;1966.15.10;Ismael Nery;Nu;s.d.;aquarela sobre papel;25.80;18.20;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_10.jpg
15;1966.15.9;Ismael Nery;Composição;s.d.;aquarela e grafite sobre papel;20.50;26.80;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_9.jpg
16;1966.15.8;Ismael Nery;Figura;c. 1927-1928;óleo sobre tela;105.00;69.20;;;"
	Aquisição MAC USP
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1966_15_8.jpg
17;1963.2.16;Amedeo Modigliani;L´Auto-Portrait [Autorretrato];1919;óleo sobre tela;100.00;64.50;;;"
	Doação Yolanda Penteado e Francisco Matarazzo Sobrinho
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1963_2_16.jpg
18;1963.1.118;Piero Marussig;La Maddalena [A Madalena];1929;óleo sobre tela;89.30;72.20;;;"
	Doação Francisco Matarazzo Sobrinho
";;https://raw.githubusercontent.com/shawee-io/abrete-codigo-datasets/main/Museu%20de%20Arte%20Contempor%C3%A2nea%20da%20Universidade%20de%20S%C3%A3o%20Paulo/files/1963_1_118.jpg
